Nombre,Pais,Tipo,Codigo,LatLon,Lat,Lon
Saint John's,Antigua y Barbuda,capital,"Saint John's, Antigua y Barbuda",#N/A,#N/A,
Rosario,Argentina,ciudad,"Rosario, Argentina",#N/A,#N/A,
Buenos Aires,Argentina,capital,"Buenos Aires, Argentina",#N/A,#N/A,
Córdoba,Argentina,ciudad,"Córdoba, Argentina",#N/A,#N/A,
Nassau,Bahamas,capital,"Nassau, Bahamas",Loading...,Loading...,
Bridgetown,Barbados,capital,"Bridgetown, Barbados",#N/A,#N/A,
Belmopán,Belice,capital,"Belmopán, Belice",#N/A,#N/A,
La Paz,Bolivia,ciudad,"La Paz, Bolivia",Loading...,Loading...,
Santa Cruz de la Sierra,Bolivia,ciudad,"Santa Cruz de la Sierra, Bolivia",#N/A,#N/A,
Sucre,Bolivia,capital,"Sucre, Bolivia",#N/A,#N/A,
Belém,Brasil,ciudad,"Belém, Brasil",#N/A,#N/A,
Brasilia,Brasil,capital,"Brasilia, Brasil",Loading...,Loading...,
Salvador de Bahía,Brasil,ciudad,"Salvador de Bahía, Brasil",#N/A,#N/A,
Goiânia,Brasil,ciudad,"Goiânia, Brasil",#N/A,#N/A,
Belo Horizonte,Brasil,ciudad,"Belo Horizonte, Brasil",#N/A,#N/A,
Vitória,Brasil,ciudad,"Vitória, Brasil",#N/A,#N/A,
Campinas,Brasil,ciudad,"Campinas, Brasil",#N/A,#N/A,
Río de Janeiro,Brasil,ciudad,"Río de Janeiro, Brasil",#N/A,#N/A,
São Paulo,Brasil,ciudad,"São Paulo, Brasil",Loading...,Loading...,
Santos,Brasil,ciudad,"Santos, Brasil",#N/A,#N/A,
Curitiba,Brasil,ciudad,"Curitiba, Brasil",#N/A,#N/A,
Florianópolis,Brasil,ciudad,"Florianópolis, Brasil",Loading...,Loading...,
Manaos,Brasil,ciudad,"Manaos, Brasil",#N/A,#N/A,
Fortaleza,Brasil,ciudad,"Fortaleza, Brasil",#N/A,#N/A,
Porto Alegre,Brasil,ciudad,"Porto Alegre, Brasil",#N/A,#N/A,
Natal,Brasil,ciudad,"Natal, Brasil",#N/A,#N/A,
João Pessoa,Brasil,ciudad,"João Pessoa, Brasil",Loading...,Loading...,
Recife,Brasil,ciudad,"Recife, Brasil",#N/A,#N/A,
Maceió,Brasil,ciudad,"Maceió, Brasil",#N/A,#N/A,
Valparaíso,Chile,ciudad,"Valparaíso, Chile",#N/A,#N/A,
Santiago de Chile,Chile,capital,"Santiago de Chile, Chile",#N/A,#N/A,
Concepción,Chile,ciudad,"Concepción, Chile",#N/A,#N/A,
Cartagena de Indias,Colombia,ciudad,"Cartagena de Indias, Colombia",Loading...,Loading...,
Barranquilla,Colombia,ciudad,"Barranquilla, Colombia",#N/A,#N/A,
Santiago de Cali,Colombia,ciudad,"Santiago de Cali, Colombia",#N/A,#N/A,
Bogotá,Colombia,capital,"Bogotá, Colombia",#N/A,#N/A,
Medellín,Colombia,ciudad,"Medellín, Colombia",#N/A,#N/A,
Bucaramanga,Colombia,ciudad,"Bucaramanga, Colombia",Loading...,Loading...,
San José,Costa Rica,capital,"San José, Costa Rica",#N/A,#N/A,
La Habana,Cuba,capital,"La Habana, Cuba",#N/A,#N/A,
Roseau,Dominica,capital,"Roseau, Dominica",#N/A,#N/A,
Quito,Ecuador,capital,"Quito, Ecuador",#N/A,#N/A,
Guayaquil,Ecuador,ciudad,"Guayaquil, Ecuador",#N/A,#N/A,
San Salvador,El Salvador,capital,"San Salvador, El Salvador",#N/A,#N/A,
Saint George's,Granada,capital,"Saint George's, Granada",#N/A,#N/A,
Ciudad de Guatemala,Guatemala,capital,"Ciudad de Guatemala, Guatemala",#N/A,#N/A,
Georgetown,Guyana,capital,"Georgetown, Guyana",#N/A,#N/A,
Puerto Príncipe,Haití,capital,"Puerto Príncipe, Haití",#N/A,#N/A,
Tegucigalpa,Honduras,capital,"Tegucigalpa, Honduras",#N/A,#N/A,
Kingston,Jamaica,capital,"Kingston, Jamaica",#N/A,#N/A,
León,México,ciudad,"León, México",#N/A,#N/A,
Puebla,México,ciudad,"Puebla, México",#N/A,#N/A,
Toluca,México,ciudad,"Toluca, México",Loading...,Loading...,
Juárez,México,ciudad,"Juárez, México",Loading...,Loading...,
Ciudad de Mexico,México,capital,"Ciudad de Mexico, México",#N/A,#N/A,
Torreón,México,ciudad,"Torreón, México",#N/A,#N/A,
Monterrey,México,ciudad,"Monterrey, México",Loading...,Loading...,
Tijuana,México,ciudad,"Tijuana, México",Loading...,Loading...,
Guadalajara,México,ciudad,"Guadalajara, México",#N/A,#N/A,
Managua,Nicaragua,capital,"Managua, Nicaragua",#N/A,#N/A,
Panamá City,Panamá,capital,"Panamá City, Panamá",#N/A,#N/A,
Asunción,Paraguay,capital,"Asunción, Paraguay",#N/A,#N/A,
Lima,Perú,capital,"Lima, Perú",#N/A,#N/A,
Arequipa,Perú,ciudad,"Arequipa, Perú",Loading...,Loading...,
San Juan,Puerto Rico,capital,"San Juan, Puerto Rico",#N/A,#N/A,
Santo Domingo,República Dominicana,capital,"Santo Domingo, República Dominicana",#N/A,#N/A,
Paramaribo,Surinam,capital,"Paramaribo, Surinam",Loading...,Loading...,
Puerto España,Trinidad y Tobago,capital,"Puerto España, Trinidad y Tobago",#N/A,#N/A,
Montevideo,Uruguay,capital,"Montevideo, Uruguay",#N/A,#N/A,
Barquisimeto,Venezuela,ciudad,"Barquisimeto, Venezuela",#N/A,#N/A,
Maracay,Venezuela,ciudad,"Maracay, Venezuela",#N/A,#N/A,
Caracas,Venezuela,capital,"Caracas, Venezuela",#N/A,#N/A,
Maracaibo,Venezuela,ciudad,"Maracaibo, Venezuela",#N/A,#N/A,
San Cristobal,Venezuela,ciudad,"San Cristobal, Venezuela",#N/A,#N/A,
Valencia,Venezuela,ciudad,"Valencia, Venezuela",#N/A,#N/A,
Ciudad Guayana,Venezuela,ciudad,"Ciudad Guayana, Venezuela",#N/A,#N/A,
Ecuador,Ecuador,pais,Ecuador,#N/A,#N/A,
Brasil,Brasil,pais,Brasil,#N/A,#N/A,
Bolivia,Bolivia,pais,Bolivia,#N/A,#N/A,
Paraguay,Paraguay,pais,Paraguay,#N/A,#N/A,
Chile,Chile,pais,Chile,#N/A,#N/A,
Uruguay,Uruguay,pais,Uruguay,#N/A,#N/A,
Argentina,Argentina,pais,Argentina,#N/A,#N/A,
Perú,Perú,pais,Perú,#N/A,#N/A,
Costa Rica,Costa Rica,pais,Costa Rica,Loading...,Loading...,
Nicaragua,Nicaragua,pais,Nicaragua,#N/A,#N/A,
El Salvador,El Salvador,pais,El Salvador,#N/A,#N/A,
Honduras,Honduras,pais,Honduras,#N/A,#N/A,
Guatemala,Guatemala,pais,Guatemala,#N/A,#N/A,
República Dominicana,República Dominicana,pais,República Dominicana,#N/A,#N/A,
Haití,Haití,pais,Haití,Loading...,Loading...,
México,México,pais,México,#N/A,#N/A,
Colombia,Colombia,pais,Colombia,#N/A,#N/A,
Cuba,Cuba,pais,Cuba,#N/A,#N/A,
Venezuela,Venezuela,pais,Venezuela,#N/A,#N/A,
Panama,Panama,pais,Panama,#N/A,#N/A,
Mundo,Mundo,area,Mundo,"15.400986, -45.974596",15.400986,-45.974596
Cochabamba,Bolivia,ciudad,"Cochabamba, Bolivia",Loading...,Loading...,
Minas,Brasil,ciudad,"Minas, Brasil",Loading...,Loading...,
Caribbean,Caribbean,area,Caribbean,"15.0000001,-75.0000001",15.0000001,-75.0000001
Caribe,Caribe,area,Caribe,"15.0000001,-75.0000001",15.0000001,-75.0000001
Jamaica,Jamaica,pais,Jamaica,#N/A,#N/A,
Panamá,Panamá,pais,Panamá,Loading...,Loading...,
Puerto Rico,Puerto Rico,pais,Puerto Rico,#N/A,#N/A,
Ciudad Juarez,Mexico,pais,"Ciudad Juarez, Mexico",Loading...,Loading...,