Nombre de la organización,ID_org,Org Type
13 Media SC,450,1
180DATA,511,8
AbrePuertoRico,586,8
Acción Ciudadana ,354,6
Acción Colectiva,320,6
ACECCI - Associação Cearense de Combate à Corrupção e à Impunidade,419,6
ACIJ,94,8
ACM - SIM,451,6
ADA,513,8
AE EDG,197,7
Agencia Ecologista de Información Tegantai,405,6
"Agencia Metropolitana de Seguridad, Laboratorio de Políticas Públicas",277,4
Agenda Pública - Agência de Análise e Cooperação em Políticas Públicas,112,6
Agrupación Biósfera,411,6
Akredito,342,1
"ALAMPYME BR - Associação Latinoamericana de Micro, Pequenas e Médias Empresas Capítulo Brasil",471,6
"Alcalde, como vamos?",514,6
ANIMA Educación,612,6
Animal S. de R.L. de C.V,201,8
Aparabólica,416,1
APPCIVICO - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,184,1
Arede,515,8
"Arequipa, te queremos",118,6
Areta Valente Guimarães MEI,159,8
Ariel Cabezas,229,1
Arquitectura expandida,516,8
"Artículo 12, A.C. (programa “SonTusDatos”)",426,6
ARTIGO 19 BRASIL,177,6
Artnumerica ,475,1
Asesorías e Inversiones Comunidades Ciudadanas S.A.,143,9
ASI - Asesores para la Inversión Social,246,9
Asociación Centro Ciudadano de Estudios para una Sociedad Abierta -ACCESA ,189,6
Asociación Chilena de Protección de la Familia - APROFA,167,6
Asociación Chilena de Voluntarios,344,6
Asociación Civil Ernesto Shneider Troller,481,6
Asociación Civil Guatecambia,473,6
Asociación Civil Japiqay,40,6
Asociación Civil para la Construcción de un Gobierno Abierto,199,6
Asociación Colectiva para la Defensa de los Derechos de las Mujeres en Guatemala ,135,6
Asociación Colectivo Mujeres al Derecho,353,6
Asociación Ecológica de los Municipios de Santa Ana (ASEMUSA),38,8
Asociación Horizonte Positivo,284,6
Asociación Intermunicipal del Valle de Jiboa MIJIBOA,21,8
Asociación LATin,398,3
"Asociación Nacional de Directores de Bibliotecas, Redes y Servicios de Información del Sector Académico, Universitario y de Investigación (ANABISAI)",179,6
Asociación Nacional para el Fomento de la Economia del Bien Común en Chile,190,6
Asociación Pro Arte,458,6
Asociación Transporte Ativo,101,6
Asociación Unacem,293,6
Associação Brasileira de Jornalismo Investigativo,444,6
Associação Casa Fluminense,317,6
Associação Comunitária de Bento Rodrigues,358,6
Associação Fórum Suapoe Espaço Socioambiental ,233,6
Associação Software Livre.Org,304,6
Associação Todos por Um ,207,6
Associação Todos por Um (Tp1),207,6
Associated Whistleblowing Press,386,6
Asuntos del Sur,295,9
Atix Labs SRL,501,1
Atlas Smart Cities,454,
Avesso Sustentabilidade,225,9
AVINA,518,8
Avisora,195,1
Banco Mundial,519,1
Beetec Inteligencia Colectiva,54,6
Bgood Smart Philanthropy,437,1
Blackbox Solutions y copropiedad,89,1
Bondiar,75,1
Borde Político A.C.,216,6
Brújula Turística ,510,1
C230,43,9
CAinfo,48,6
Calhau Social ,383,1
camaleon multimedia sas,203,9
Cámara de Comercio de Bogotá - CCB,365,6
"Campaña Global por la Libertad de Expresión A19, A.C.",306,6
"Capítulo Boliviano de Derechos Humanos, Democracia y Desarrollo",440,6
"Capítulo Chileno de Transparencia Internacional, Chile Transparente",343,6
Caribbean Open Institute,587,7
Cáritas Brasileira regional nordeste II,348,6
Casa Fluminense,264,6
Causa Natura,178,6
CEDAPS,351,6
CEMOPLAF,469,9
Central America Software Services,29,9
Central del Movimiento de Trabajadores Costarricenses -CMTC-,51,6
Centro Bicicultura,494,6
Centro de Assessoria Multiprofissional ,267,6
Centro de Desarrollo Sostenible,124,1
CENTRO DE EDUCAÇÃO E ASSESSORIA POPULAR MAURITI-CE  ,238,6
Centro de Empreendedorismo Universitario &Consultoria Ltda,349,9
Centro de Estudios Ambientales y Sociales (CEAMSO),350,7
"Centro de Estudios para la Equidad y Gobernanza En Los Sistemas de Salud, CEGSS",127,6
Centro de Estudos Avançados de Promoção Social e Ambiental - CEAPS / Projeto Saúde & Alegria,462,6
Centro de Formação e Organização Comunitária - CEFORC,388,6
"Centro de Innovación a la Vivienda (CIV), A.C.",307,6
Centro de Investigación Económica y Presupuestaria A.C.,205,6
Centro de Investigaciones y Estudios en Antropología Social ,245,7
Centro de Justicia y Paz - Cepaz,500,6
Centro de Liderança Pública,423,6
"Centro de los Derechos del Migrante, Inc.",84,6
Centro de Mídias Cívicas do MIT Media Lab,254,7
Centro de Participación y Ciudadanía - Ciudadanos al Día,171,6
Centro de pensamiento Estratégico Internacional - CEPEI,106,6
Centro de Promoción de la Mujer Gregoria Apaza- CPMGA,104,6
Centro de Promoción en Salud y Asistencia Familiar (CEPROSAF),448,6
Centro Eugenio Garza Sada,491,6
Centro Latinoamericano de Derechos Humanos,285,6
Centro para Programas de Comunicación Nicaragua (CPCNic),347,6
Centro Peruano para la Resiliencia de Socioecosistemas Urbanos - Centro Urbes,227,6
"Centro Profesional Indígena de Asesoría, Defensa y Traducción A.C.",219,6
Centro Tecnológico (CTC),613,
Centro Universitario de Belo Horizonte,6,6
Centro Universitário de Belo Horizonte,182,6
CheckUY,521,6
Chequeado,93,6
Chicas Poderosas,520,8
Cicatal /26 employees,522,9
CIDE,523,7
CIEDS - Centro Integrado de Estudos e Programas de Desenvolvimento Sustentável,308,6
Cityflag SAPI de CV,218,1
Ciudad Viva,524,8
Ciudadan@s por la Transparencia A.C,172,6
Ciudadano Inteligente,525,6
Ciudadanos al Día ,171,6
Cívica Digital,85,1
Civitatis Consultoria e Assessoria Educacional LTDA,92,9
CLETECI S.A,186,1
CNPI - Centro Nacional de Informatica,372,9
CobraCriada,345,1
CoCidade,378,6
Cocreamos S.A.S.,377,1
Code for the Caribbean,603,6
Codeando Mexico,2,6
CODENI,526,6
CODIUM,425,1
Colab,527,
ColaborativoMx,538,6
"Colaboratório de Desenvolvimento e Participação, Universidade de São Paulo",251,4
Colivre - Cooperativa de Tecnologias Livres,302,6
Colnodo – Asociación Colombiana de Organizaciones No Gubernamentales para la Comunicación Vía Correo Electrónico,270,6
Comite para la Democratización de la Informatica. CDI Colombia,141,6
Committee for a Better New Orleans/Comité por una mejor Nueva Orleans ,503,6
Comunicación Corporativa de Centroamérica,82,9
Comunidad Huerta,325,1
Comunidades de Software Libre,529,8
COMUNIDEAS SAS,431,9
Conceptu Protótipos e Sistemas,139,1
Congreso Interactivo,530,
Congreso Público,496,6
Congreso Transparente,531,8
Consejería Jurídica y de Servicios Legales de la CDMX,116,4
"Consejo Cívico de Instituciones de Nuevo León, A.C.",152,6
Consejo Civico de Vecinos,88,6
Consejo de la Transparencia,532,9
Constructora Proyecto Propio,235,6
Contexto,12,6
Convoca,533,
Cooperativa Acá Comunicaciones,410,8
Cooperativa de Trabajo Tecnomática Limitada - 11-50 empl,265,9
Cooperativa Girasol de Cosumo Solidário,33,8
Cooperativa Sulá Batsú,165,6
Coordinadora Nacional de Derechos Humanos,534,4
Core Systems,194,9
Corporación Científicas de Datos ,389,6
Corporación COBEII,214,6
Corporación Con Tacto Local,289,6
Corporación Control Social Colombia,321,6
"Corporación Integral de Innovación Social ""INNOVAR""",230,6
Corporación PRODEPAZ,362,6
Corporación programa de desarrollo para la paz,502,6
Corporación Red Somos,449,6
Corporación Ruta N,477,8
Corporación Seamos - Democracia Digital,402,6
Corporación Somos Más,408,6
Corporación Transparencia por Colombia,96,6
Corresponsales,535,
Creapption,286,1
CreaThink ,374,6
Creative Commons,536,8
Cristian Damián Cazón,243,8
CSCR ,331,1
Cultivando Futuro,299,1
Cultura Peru,537,
Cultura y Educación para el Desarrollo y la Autonomía en México,278,
DAL,606,8
DATA Uruguay,157,6
Datalat,11,8
Datos Concepcion,456,1
DatosElSalvador,102,6
De La Azotea,339,
De olhos nas metas,538,6
DelPuerto Comunicaciones ,452,9
Democracia & Desarrollo Internacional (D&D Internacional),479,6
Democracia Digital,539,
Democracia en Red,399,6
Demokratio ,18,1
Departamento de Engenharia e Gestão do Conhecimento (dEGC),614,7
"Derecho, Ambiente y Recursos Naturales",80,6
Derive Lab,13,6
Detona,120,
Diario La Nación,95,9
Digital Network SRL,248,6
Dirección de Gobierno Abierto y Datos Abiertos,49,4
Dirección de Gobierno Abierto y Datos Abiertos de la Provincia de Buenos Aires,50,4
Dirección de Transparencia y Gobierno Abierto de la Provincia de Jujuy,266,4
Dirección General de Informática de la Municipalidad de Rosario,439,4
Directorio Legislativo,334,8
Documenta: Análisis y Acción para la Justicia Social A.C.,466,6
Dsarhoya SPA,453,9
DTLNet Ltda.,397,9
Durán & Asociados SpA.,19,1
DynamizeIT,322,1
EA TECH,476,8
Economía Feminista,324,6
Econsulting S.R.L.,294,9
Ecosocial Consultores S.A.S,57,9
Eixo Público - Consultoria Júnior,63,7
El Caracol,540,8
El Faro,541,8
Elleven,73,9
eMAGIC,273,1
eMude Tecnologia em Cidades,129,1
enREDo,542,
EOKOE SOLUÇÕES TECNOLÓGICAS ,184,1
"Esc. de Ingeniería Eléctrica, Electrónica y de Telecomunicaciones ",544,7
Escuela de Datos,622,8
Escuela de Datos Peru,545,6
Escuela Politécnica Nacional,241,7
Espacio Público,65,6
"Este País, A.C.",200,6
Estudio Manatí S.A.,357,9
"Explico, S.A.",291,9
Exxact Negocios Digitales SPA,495,9
Fáctico Periodismo Móvil,499,1
"FACTUS,S.A.",64,9
Faculdade Latino-Americana de Ciências Sociais (Flacso),472,3
Facultad de comunicaciones de la Universidad Pontifica de Chile,546,7
Facultad de Ingenería Universidad de los Andes,393,7
Faro Digital,56,6
FGV.CEAPG - Centro de Estudos em Administração Pública e Governo da Escola de Administração de Empresas da Fundação Getulio Vargas ,234,7
FGV.GDHeE - Grupo de Pesquisa Aplicada em Direitos Humanos e Empresas da Fundação Getulio Vargas,232,7
FGX,222,1
Fluxo,221,1
Fórum Brasileiro de Segurança Pública,136,6
Fundação Darcy Ribeiro,224,6
FUNDAÇÃO EDUCATIVA E CULTURAL - ARCA,421,6
Fundación Acción Cultural Loyola (ACLO),74,6
Fundación Ambiente y Recursos Naturales (FARN),122,6
Fundación Base Pública,258,6
Fundación Biciacción,434,6
Fundación BIT,390,6
Fundación Buena Nota,3,6
Fundación Capital,432,3
Fundación Centro Latinoamericano de Derechos Humanos,285,6
Fundación Ciencias de la Documentación,493,3
Fundación Ciudadana Civio,428,6
Fundación Ciudadania y desarrollo,547,6
Fundación Ciudadanía y Desarrollo FCD,10,6
Fundación Ciudadano Inteligente,384,6
Fundación Cívico Social Pro Cartagena - FUNCICAR,327,6
Fundación Conocimiento Abierto,47,6
Fundación CONSTRUIR,58,6
Fundación ConSuma ConCiencia,145,6
Fundación Contexto Ciudadano,149,6
Fundación Corona,42,6
Fundación Costa Rica para la Innovación,333,3
Fundación Democracia Digital ECUADOR,274,6
Fundación Democracia y Desarrollo,223,6
Fundación Desarrollo Social Lealtad Chile,427,6
Fundación Ecomunidad,319,6
Fundación Ejercicio Ciudadano,336,6
Fundación Enseñá por Argentina,442,6
Fundación Generación Sin Límite,400,6
Fundación Gestores Sociales,45,6
Fundacion Girls in Tech Chile,446,6
Fundacion Gobierno Abierto,548,6
Fundación Grupo Cívico Ética y Transparencia (EyT),508,6
"Fundación Hogares, IAP ",131,6
Fundación Huésped,461,6
Fundacion Ideas para la Paz,366,8
Fundación InHoy,396,6
Fundación Juventud Emprendedora,70,6
Fundación Karisma,290,6
Fundación LA Network,484,6
"Fundación Laboratorio de Políticas Públicas, LPP",236,6
Fundación Latitudes ,282,6
Fundación Mapocho,250,6
Fundación Medialab Quito,239,6
Fundación Mexicana para la Planeación Familiar A. C. (MEXFAM),27,6
Fundación Mi Sangre,174,6
Fundacion Multitudes,445,6
Fundación Nacional para el Desarrollo (FUNDE),260,6
Fundación Naturaleza para el Futuro (FUNAFU),460,6
Fundación Nicaragüense para la Defensa del Medio Ambiente y Protección de los Recursos Naturales (FUNDENATURA),193,6
Fundación Nuestra Mendoza,287,6
Fundación Pacientes Cáncer de Pulmón,335,6
Fundación para el Desarrollo de Políticas Sustentables (FUNDEPS),121,6
Fundación Paraguaya,34,6
Fundación por una Carrera,114,6
Fundación Proyecto Propio,292,6
Fundación Tres Cocos,187,6
Fundación Villafranca y Zurcher para la educación de la juventud a través del turismo,355,8
Fundamedios,330,6
FUNDAPI,166,6
"Fundar, Centro de Análisis e Investigación",163,6
GAFIT Soluções em Automação LTDA - ME,359,1
Geleia .Mob,209,1
Gênero e Número,268,6
GERICO,281,6
GobiernateAC,549,6
Gobierno Abierto CDMX,550,4
Gobierno de Colombia,551,4
Gobierno de Costa Rica,552,4
Gobierno de Minas,553,4
Gobierno de Panamá,588,4
Gobierno de Quito,616,4
Gobierno Fácil,26,1
Grupo CEMOS,554,7
Grupo CIDIC,14,7
"Grupo de Estudos sobre Cultura, Representação e Informação Digitais - CRIDI ",329,8
GRUPO DE INOVACION E INTELIGENCIA CIUDADANA ,257,6
Grupo de Investigación de Sistemas Basados en el Conocimiento - Universidad Técnica Particular de Loja,36,7
Grupo FARO,108,6
Grupo Limonta,328,9
Guarumo,326,9
Guayí,71,6
Guegue Vasquez Cia Ltda,346,9
Hacklab Asunción,517,8
Hack Hackers Lima,555,8
Hack Hackers Montevideo,558,8
Hacklab,181,9
Hacklab Asunción,556,8
HackLab Cochabamba,557,8
Hacklab Serviços de Tecnologia LTDA.,181,9
Hacks Hackers,558,8
Hacks/hackers Bogota,559,8
Hiperderecho,376,6
Hivos,560,3
Hormiga Investigación,210,9
How to Build Up,382,9
ICFJ,622,8
ICOM - Instituto Comunitário Grande Florianópolis,60,6
ideales soluciones  sociales,497,6
IEEPP,561,7
IFAI,562,4
Ilhasoft,364,1
Imaflora,309,6
Impacto Norte SRL,83,9
IMPAQTO,436,1
INCOTEDES,228,8
Independiente,563,
INESC-Instituto de Estudos Socioeconômicos,313,6
InfoAmazonia,31,8
InfoDF,564,6
Iniciativa,565,
INKCO SAS,142,9
Innovavista,413,9
Innpactia S.A.S.,269,1
INPPARES - INSTITUTO PERUANO DE PATERNIDAD RESPONSABLES ,191,6
Instituto Banco da Periferia,153,6
Instituto Acuña,28,6
Instituto Atlántico,160,6
INSTITUTO BANCO DA PERIFERIA - PALMAS LAB,420,6
Instituto Casa da Cidade,404,6
Instituto Cidade Democra´tica,213,6
Instituto Cordial,192,1
Instituto de Arquitetos do Brasil - Departamento de São Paulo (IAB-SP),180,6
Instituto de Cidadania Empresarial do Maranhão,310,6
Instituto de Estudios del Trabajo -INET-,52,6
Instituto de Liderazgo Simone de Beauvoir A.C. ,369,6
Instituto de Políticas para el Transporte y el Desarrollo (ITDP),148,6
Instituto del Desarrollo de la Juventud,367,6
Instituto del Fracaso A.C.,249,6
INSTITUTO DEMOS,380,6
Instituto ECOAR para a Cidadania,470,6
Instituto Educadigital,262,6
Instituto Floresta Tropical ,168,6
Instituto Humanista de Cooperación para el Desarrollo - HIVOS,429,6
Instituto Humanitas360,255,6
Instituto Ilhabela Sustentável,202,6
"Instituto Metropolitano de Profissionalização, Arte, Cultura e Oportunidades - IMPACTO",275,6
INSTITUTO MÍDIA ÉTNICA,98,6
Instituto Nacional de la Economía Social,72,4
Instituto Nossa Ilhéus,314,6
Instituto Panameño de Derecho y Nuevas Tecnologías,103,6
Instituto Para o Desenvolvimento Racional das Cidades,280,6
Instituto Phomenta,276,6
Instituto Salvadoreño de Desarrollo Municipal (ISDEM),22,8
Instituto São Paulo Sustentável,311,6
Instituto Sincronicidade para a Interação Social (ISPIS),99,6
Instituto Socioambiental,231,6
Instituto Soma Brasil ,315,6
Instituto Stela,147,6
Instituto Veredas,394,6
Internet of Government (IoG),489,1
Invernaideas,62,1
"Investigación e Innovación Factual, A.C.",5,6
Iuristech Solutions,483,1
JMM TECH,412,1
Jóvenes Contra la Violencia/Centroamérica,110,6
Kodevian Enterprise Software Solutions,226,9
Krieger Electronics de Mexico SA de CV,69,9
Kronoscode - 8 empleados,509,1
la diaria,128,9
La Factura,566,
La Voz de Guanacaste,447,8
LabHacker,417,6
Laboratório de Inovação e Controle no Setor Público da Universidade Federal do Pará,253,7
Laboratorio para la Acción Pública,217,6
LabPLC,568,8
Ladobe,569,8
Lar de Maria Dolores,76,6
Let's Chat,387,6
Lima Cómo Vamos,119,6
Lima I/O,560,
LlactaLab - Ciudades Sustentables,435,6
LojaSoft Solutions ,4,1
Loomio Cooperative Limited,272,8
MAGA Systems & Consulting,401,9
Malalai Tecnologia de Segurança Ltda,341,1
Manas Technology Solutions,132,9
Manejo Inteligente de Residuos y Gestión Ambiental MINGA,170,9
Mapa,561,
Mapa de medios,562,
Mapas Coletivos,100,8
Mas Cultura,563,6
Medialab Quito,239,6
Mega Cities,161,6
Mexico Informate,564,8
MGov Brasil,465,1
Mindball ONG PLANETA,395,6
Mingarã. Asociación para el Desarrollo Sustentable,424,6
Ministerio de Economia de Peru,565,4
Ministerio de Salud,566,4
Ministerios de Planificacion,567,4
Mismatica Management (Sistemas de gestión Mismatica Chile Limitada),487,9
MKK Group,9,1
MOODSTUDIO,123,9
Movilizatorio,44,1
Movimento Nossa BH,312,6
Movimiento Cívico Nacional,137,6
Movimiento Nacional por la Integridad,196,6
"Municipalidad de Concepción del Uruguay, Dirección de Control del Gasto",457,4
Municipalidad de Guatemala,568,4
Municipalidad de Renca,67,4
"Municipalidad de Rosario, Secretaria de Economia social, Dirección General de Desarrollo de la Economía Social",337,4
Municipalidad de San Jorge,414,4
"Municipalidad San José del Ídolo Suchitepéquez, Guatemala",215,4
Municipio de Yopal,418,4
Municipio Verde,443,1
Muove Brasil,422,1
MySociety,623,
MZ Tecnologia,208,1
MZ Tecnologia ,208,
Nachhaltigkeit Educação Ltda,361,9
NAU Interativa,59,
Ninja,569,
Carla Barbedo Zorzanelli ,164,8
Nova Grupo de Consultoria SAS,381,9
"Núcleo de Estudos em Inteligência, Gestão e Tecnologias para Inovação (IGTI)",615,7
Núcleo de Informação e Coordenação do Ponto Br - Nic.br,113,6
Núcleo Digital,23,9
Nuestra Mendoza,287,6
O Instituto Ambiental,111,6
Observatorio ciudadano de la Educacion,570,8
Observatorio de Comunicación PUCV,352,7
Observatório de Favelas do Rio de Janeiro,263,6
Observatorio del Gasto Fiscal - via Fundación Contexto Ciudadano,149,6
,149,
Observatório do Recife,316,6
OBSERVATORIO MEXICANO DE LA CRISIS,379,6
Observatório Social de São José (OSSJ),81,6
ODPE.pe,571,8
oeste.mx,572,8
Ojo al voto,573,6
Ojo Público,363,6
OjoPúblico,363,6
OjoPúblico,363,6
OKFN El Salvador,574,6
Olabi,575,
Olhoneles,576,
Olinguito,577,8
Olmeca Soy ,15,6
Omnibus Hacker,578,
On The Move,237,
OneEyeAnt,338,1
Onesmart Technology SA de CV,498,1
ONG para Iberoamerica,579,
ONU,580,3
Open Data Perú,17,6
Open Data Venezuela,625,
Open Knowledge,581,8
Open Knowledge Brasil,175,6
Open Knowledge Ecuador,582,6
Open Knowledge Foundation,581,8
opendata.Py,583,
OpenStreetMap,584,8
OpenStreetMap Nicaragua,585,8
"Ouvidoria-Geral da União / Ministério da Transparência, Fiscalização e Controladoria-Geral da União?-CGU",252,4
PANAPANA INFORMACAO E EDUCACAO LTDA ­ ME ,158,9
parapapapp sas,474,9
"Participación Ciudadana, Capitulo Dominicano Transparencia Internacional",140,6
People in Need,597,
Periódico El Faro,464,9
Periodico Sudestada,589,9
Periodista virtual ,590,8
PHRONESIS PESQUISA E CONSULTORIA EM CIENCIAS SOCIAIS LTD,176,9
Pictórica Comunicações S/C Ltda,271,9
PIDES Innovación Social,68,6
"Plan B para el Desarrollo, AC",300,6
Plan Estrategico de Juarez,591,6
Plan Estrategico de Juarez,618,6
PLATAFORMA CIUDADANA INTELIGENTE,185,1
Plataforma Nuup AC,126,6
Plaza Pública ,385,7
PODER,24,8
Poder Ciudadano,592,6
Policéntrico,188,1
Policía Nacional del Ecuador,371,4
Politize!,91,6
Pontificia Universidad Católica del Perú,283,7
Portal Brasil,593,
PRESABIS,8,6
Presidencia,594,4
Presidencia del Consejo de Ministros,595,4
Prince Consulting (KMT BUSINESS EDUCATION SA),486,9
Proetica,596,
"Proética, Capítulo peruano de Transparency International",16,6
Programa Cidades Sustentaeis,611,
Promec Projetos e Modelagens em Engenharia e Computação LTDA,77,1
Prosas tecnologia Social Ltda,134,
Protrash,115,1
Public Knowledge,375,6
Que hacen?: el parlamento en tu movil,598,
QuiénMeRepresenta,468,
Rancho electronico ,599,8
Random Monkey,97,1
Receita federal,323,1
Red Aceleradora Global,86,1
Red Argentina para la Cooperacio´n Internacional (RACI),109,6
Red Ciudadana,600,6
Red Ciudadana Nuestra Córdoba – Asociación civil Nuestra Córdoba,156,6
Red Consejo Ciudadano a la Contraloria A.C.,463,6
Red Infodesarrollo,240,6
Rede Conhecimento Social,154,6
Rede de Observatorio Social do Brasil,256,6
Redlad ,492,6
Regional,601,6
Repórter Brasil,30,6
Responsible Business Alliance (RBA),356,9
Rokode Digital,211,1
Rosario Mobile Apps,438,6
Ruta Cívica,391,6
SEBUSCAN SAS,340,1
Secretaria de Estado dos Direitos Humanos e Participação Popular,303,4
Secretaría de Planificación,296,4
"Secretaria de Planificacion, Desarrollo y Modernizacion de la Municipalidad de San Salvador de Jujuy",247,4
"Servicios de Ideas Creativas para el Desarrollo de Organizaciones, A.C.",107,6
Servicios e Información para el Desarrollo Económico Local-SIDEL,105,6
Servicios Integrales para el Desarrollo,25,6
Servicios Universitarios y Redes de Conocimiento en Oaxaca A C,87,6
Silice,407,1
"Simetría, Centro de Innovación en Políticas Públicas A.C.",206,6
Sistemas de Información Geográfica para la Planeación y Ordenamiento del Territorio (SIGPOT SA de CV),37,9
Slashroots,602,8
Smart Data Services,370,1
"Social Apps Lab, University of California, Berkeley",505,7
Socialab Global,204,1
SocialTIC,53,6
Sociedad Civil Abriendo Datos Costa Rica,20,6
"Sociedad de hecho ""La Pesetera""",133,1
"Sociedad en Movimiento, AC",301,6
Sociedad Peruana de Derecho Ambiental,162,6
Socio Público ,66,9
SoftAI,55,1
Softex,604,1
Soluntia SA,305,9
Solvo,198,1
Sonora Ciudadana AC,373,6
SpaceshipsLabs,173,9
Subsidios Claros,459,1
SUMÁ,146,1
Sumando Esfuerzos,605,
Tannder Corp,155,1
Taturana Mobilização Social,368,6
TECHO,78,6
TEDIC,467,6
Tekis Tecnologia Avançadas Ltda.,61,1
The Engine Room,41,3
The Next Services,430,1
"Themis Gênero, Justiça e Direitos Humanos",138,6
Thot Group,169,1
Tigo,607,1
Todavia no fue creada una empresa,478,8
Todos Pela Educação,144,6
Transformación de Obreros y Técnicos Esperanza de México TOTEM a.c,485,6
Transparência Brasil,220,6
Tribunal Permanente de los Pueblos,608,8
Troca: gestão social para a sustentabilidade,360,
Trujillo ¡Ahora!,117,6
Unicef,609,3
Unidad Positiva Para El Desarrollo Ciudadano - UPDC,480,6
"Universidad de Chile, Facultad de Ciencias Físicas y Matemáticas, Departamento de Ingeniería Industrial, Centro de Investigación en Inteligencia de Negocios (CEINE)",150,7
"Universidad de Santiago de Chile, Facultad de Administración y Economía",151,7
Universidad Industrial de Santander,543,7
Universidad Nacional (ViveLab),409,7
Universidad Nacional de Rio Negro. ,441,7
Universidad Rafael Landivar,610,7
Universidade Federal de Santa Catarina ,32,7
UNOSTRES,403,
Update,415,
uSocial Maps,46,1
UX,433,
V-SMART S.A.,125,9
"Veeduria Distrital de Bogotá, Veeduría Delegada para la Contratación",242,4
"Veeduría Distrital de Bogotá, Veeduría Delegada para la Participación y los Programas Especiales",35,4
Verto Technology Corp,482,9
Vetor Brasil,39,6
Visual Reporting Technologies,392,1
Vivero de Iniciativas Ciudadanas,490,
Voter Desenvolvimento de Software Ltda,318,1
WAR Contenidos  ,212,9
Wheels,406,
Wingu,79,6
World Resources Institute Brasil - WRI Brasil,183,3
World Resources Institute México,90,3
Xue Colombia LTDA - 11-50 employees,288,9
YECAS,507,
Yeeko Inteligencia Colectiva,332,6
Youniversys SRL,488,9
Zapopan Lab,279,6
Zeus Tecnologica S.A,130,9
